common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Erh,Eif5a2,Atp6v1e2
Eri1,Eif5b,Atp6v1f
Erlin1,Eif6,Atp6v1fnb
Ero1b,Elavl1,Atp6v1g1
Esco2,Elf1,Atp6v1g2
Esd,Elf2,Atp6v1h
Esf1,Elk3,Atp7b
Espl1,Ell2,Atp8a1
Esrp2,Eloa,Atp8a2
Esrra,Elof1,Atp8b2
Ess2,Elp2,Atp8b3
Etaa1,Eml3,Atp8b4
Etf1,Eml6,Atp9b
Ets1,Emsy,Atpaf1
Evc,Enc1,Atpsckmt
Exo1,Endod1,Atr
Exoc5,Enosf1,Atrip
Exoc8,Enpp1,Atrn
Exosc1,Ensa,Atxn1
Exosc10,Epb41l1,Atxn10
Exosc4,Epb41l4a,Atxn1l
Exosc6,Epb41l5,Atxn2
Exosc8,Epc1,Atxn2l
Extl2,Epha2,Atxn3
Ezh2,Eps15l1,Atxn7
F2r,Erbin,Atxn7l1
F2rl2,Erc2,Atxn7l2
Fadd,Ercc3,Atxn7l3b
Faf1,Ercc5,Auh
Fam110a,Ereg,Aunip
Fam133b,Erh,Aurka
Fam13b,Eri1,Aurkaip1
Fam149a,Errfi1,Aven
Fam171a1,Esco2,Avpi1
Fam189a2,Espl1,Azi2
Fam204a,Esyt2,B2m
Fam32a,Etaa1,B3galnt1
Fam76b,Etf1,B3galnt2
Fam89b,Etv1,B3galt1
Fam98b,Etv5,B3galt4
Fanca,Evc,B3galt6
Fanci,Exo1,B3gat3
Fancl,Exoc5,B3glct
Fancm,Exoc8,B3gnt2
Far1,Exosc4,B3gnt9
Farsa,Exosc6,B4galnt4
Farsb,Exosc8,B4galt1
Fastkd1,Extl2,B4galt2
Fastkd2,Ezh2,B4galt3
Fastkd3,Ezr,B4galt4
Fastkd5,F2r,B4galt5
Fat1,F2rl2,B4galt6
Fau,Fadd,B4galt7
Fbxl3,Fads3,B4gat1
Fbxo21,Fah,Baat
Fbxo22,Fam120a,Babam1
Fbxo3,Fam131b,Bace1
Fbxo30,Fam133b,Bach1
Fbxo33,Fam13b,Bad
Fbxo4,Fam149a,Bag1
Fbxo42,Fam168b,Bag2
Fbxo48,Fam169b,Bag3
Fbxo5,Fam171a1,Bag4
Fbxo7,Fam189a2,Bag5
Fcf1,Fam207a,Bag6
Fdx2,Fam210b,Bahd1
Fen1,Fam32a,Baiap2l1
Fh,Fam76b,Baiap2l2
Fhdc1,Fam83d,Bak1
Fignl1,Fam89b,Bambi
Fkbp1a,Fam98b,Banf1
Fkbp3,Fanca,Bank1
Flvcr1,Fancc,Banp
Fmnl2,Fancg,Bap1
Fnbp4,Fanci,Bard1
Fnta,Fancl,Batf
Fosl1,Fancm,Batf2
Foxa1,Far1,Baz1a
Foxj3,Farp1,Baz1b
Foxred1,Farsa,Baz2a
Frg1,Fastkd2,Baz2b
Fscn1,Fastkd3,Bbip1
Fubp1,Fastkd5,Bbof1
"Furin,",Fat1,Bbs1
Fus,Fbxl12,Bbs10
Fxn,Fbxl17,Bbs12
Fxr1,Fbxl3,Bbs2
Fyb1,Fbxo22,Bbs4
Fzd3,Fbxo28,Bbs7
Fzr1,Fbxo30,Bbs9
G2e3,Fbxo33,Bbx
G3bp2,Fbxo4,Bcap29
Gabpb1,Fbxo48,Bcar1
Gabpb2,Fbxo5,Bcas2
Gadd45b,Fcf1,Bccip
Gadd45gip1,Fdx2,Bcdin3d
Galnt7,Fdxacb1,Bckdhb
Galt,Fen1,Bckdk
Gart,Fer,Bcl10
Gas2l3,Fgf12,Bcl2
Gas8,Fgf7,Bcl2l1
Gata4,Fh,Bcl2l11
Gatad2a,Fhdc1,Bcl2l2
Gatad2b,Fhl2,Bcl6
Gbe1,Fhl3,Bcl7a
Gbf1,Fhod1,Bcl7b
Gcc2,Fibp,Bcl7c
Gcsh,Fignl1,Bcl9
Gdap2,Fjx1,Bcl9l
Gde1,Fkbp3,Bclaf1
Gdi2,Flot1,Bco1
Gemin2,Flt1,Bco2
Get3,Flvcr1,Bcr
Gfm1,Fn1,Bdh1
Gfm2,Fnta,Bdh2
Gfod2,Fosl1,Bdkrb2
Gfus,Foxa1,Bdp1
Ggact,Foxo1,Bean1
Gin1,Foxred1,Bend3
Gins1,Frg1,Bend6
Gins2,Fry,Best2
Gins3,Fscn1,Bet1
Gins4,Furin,Bet1l
Gjb3,"Furin,",Bglap
Gjb4,Fus,Bicc1
Gjb5,Fxn,Bicd2
Gli3,Fyb1,Bicdl1
Glrx3,Fzd4,Bicral
Gmnn,Fzd5,Bin1
Gmpr,Fzr1,Bin3
Gmps,G3bp2,Birc2
Gnl2,Gabpa,Bivm
Gnl3,Gabpb1,Blcap
Gnptab,Gabpb2,Blm
Golga7,Gadd45b,Blnk
