common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
,,LOC107977438
,,LOC107977441
,,LOC107977442
,,LOC107977444
,,LOC107977499
,,LOC107977502
,,LOC107977506
,,LOC107977509
,,LOC107977510
,,LOC107977511
,,LOC107977513
,,LOC107977529
,,LOC107977605
,,LOC107977620
,,LOC107977773
,,LOC107977774
,,LOC107977801
,,LOC107977813
,,LOC107977815
,,LOC107977823
,,LOC107977836
,,LOC107977850
,,LOC107977859
,,LOC107977876
,,LOC107977878
,,LOC107977883
,,LOC107977884
,,LOC107977913
,,LOC107977923
,,LOC107977962
,,LOC107977963
,,LOC107977970
,,LOC107977973
,,LOC107977989
,,LOC107978001
,,LOC107978006
,,LOC107978019
,,LOC107978036
,,LOC107978037
,,LOC107978055
,,LOC107978069
,,LOC107978074
,,LOC107978097
,,LOC107978099
,,LOC107978100
,,LOC107978101
,,LOC107978104
,,LOC107978106
,,LOC107978125
,,LOC107978128
,,LOC107978133
,,LOC107978135
,,LOC107978138
,,LOC107978140
,,LOC107978147
,,LOC107978151
,,LOC107978183
,,LOC107978189
,,LOC107978202
,,LOC107978208
,,LOC107978216
,,LOC107978217
,,LOC107978222
,,LOC107978225
,,LOC107978229
,,LOC107978231
,,LOC107978238
,,LOC107978260
,,LOC107978266
,,LOC107978271
,,LOC107978275
,,LOC107978277
,,LOC107978278
,,LOC107978289
,,LOC107978296
,,LOC107978309
,,LOC107978312
,,LOC107978319
,,LOC107978326
,,LOC107978387
,,LOC107978402
,,LOC107978404
,,LOC107978407
,,LOC107978412
,,LOC107978428
,,LOC107978439
,,LOC107978449
,,LOC107978450
,,LOC107978461
,,LOC107978466
,,LOC107978467
,,LOC107978476
,,LOC107978479
,,LOC107978484
,,LOC107978492
,,LOC107978535
,,LOC107978541
,,LOC107978579
,,LOC107978584
,,LOC107978585
,,LOC107978605
,,LOC107978609
,,LOC107978610
,,LOC107978612
,,LOC107978639
,,LOC107978650
,,LOC107978652
,,LOC107978653
,,LOC107978659
,,LOC107978675
,,LOC107978677
,,LOC107978680
,,LOC107978683
,,LOC107978688
,,LOC107978690
,,LOC107978713
,,LOC107978730
,,LOC107978734
,,LOC107978752
,,LOC107978764
,,LOC107978793
,,LOC107978806
,,LOC107978838
,,LOC107978840
,,LOC107978865
,,LOC107978870
,,LOC107978894
,,LOC107978895
,,LOC107978918
,,LOC107978944
,,LOC107978959
,,LOC107978970
,,LOC107978977
,,LOC107978991
,,LOC107978995
,,LOC107979008
,,LOC107979012
,,LOC107979026
,,LOC107979055
,,LOC107979065
,,LOC107979086
,,LOC107979088
,,LOC107979116
,,LOC107979125
,,LOC107979129
,,LOC107979159
,,LOC107979212
,,LOC107979229
,,LOC107979239
,,LOC107979243
,,LOC107979248
,,LOC107979254
,,LOC107979256
,,LOC107979258
,,LOC107979269
,,LOC107979294
,,LOC107979337
,,LOC107979342
,,LOC107979380
,,LOC107979388
,,LOC107979389
,,LOC107979398
,,LOC107979401
,,LOC107979402
,,LOC107979404
,,LOC107979406
,,LOC107979438
,,LOC107979446
,,LOC107979452
,,LOC107979488
,,LOC107979512
,,LOC107979522
,,LOC107979531
,,LOC107979542
,,LOC107979568
,,LOC107979589
,,LOC107979591
,,LOC107979615
,,LOC107979618
,,LOC107979643
,,LOC107979649
,,LOC107979650
,,LOC107979651
,,LOC107979678
,,LOC107979680
,,LOC107979701
,,LOC107979708
,,LOC107979715
,,LOC107979716
,,LOC107979724
,,LOC107979728
,,LOC107979748
,,LOC107979762
,,LOC107979851
,,LOC107979858
,,LOC107979869
,,LOC107979882
,,LOC107979891
,,LOC107979974
,,LOC107979981
,,LOC107979989
,,LOC107979992
,,LOC107980007
,,LOC107980021
,,LOC107980024
,,LOC107980025
,,LOC107980030
,,LOC107980044
,,LOC107980068
,,LOC107980070
,,LOC107980078
,,LOC107980089
,,LOC107980098
,,LOC107980103
,,LOC107980106
,,LOC107980130
,,LOC107980139
,,LOC107980146
,,LOC107980149
,,LOC107980165
,,LOC107980186
,,LOC107980191
,,LOC107980198
,,LOC107980199
,,LOC107980208
,,LOC107980209
,,LOC107980238
,,LOC107980239
,,LOC107980260
,,LOC107980291
,,LOC107980349
,,LOC107980360
,,LOC107980379
,,LOC107980382
,,LOC107980390
,,LOC107980396
,,LOC113830641
,,LOC113830655
,,LOC113830657
,,LOC113830659
,,LOC113830664
,,LOC113830672
,,LOC113830676
,,LOC113830699
,,LOC113830703
,,LOC113830712
,,LOC113830718
,,LOC113830730
,,LOC113830746
,,LOC113830747
,,LOC113830748
,,LOC113830750
,,LOC113830751
,,LOC113830783
,,LOC113830785
,,LOC113830799
,,LOC113830816
,,LOC113830832
,,LOC113830843
,,LOC113830844
,,LOC113830871
,,LOC113830872
,,LOC113830876
,,LOC113830899
,,LOC113830912
,,LOC113830913
,,LOC113830920
,,LOC113830921
,,LOC113830928
,,LOC113830936
,,LOC113830943
,,LOC113830951
,,LOC113830954
,,LOC113830994
,,LOC113831008
,,LOC113831032
,,LOC113831048
,,LOC113831072
,,LOC113831084
,,LOC113831086
,,LOC113831101
,,LOC113831109
,,LOC113831142
,,LOC113831153
,,LOC113831164
,,LOC113831182
,,LOC113831188
,,LOC113831191
,,LOC113831194
,,LOC113831225
,,LOC113831232
,,LOC113831251
,,LOC113831253
,,LOC113831258
,,LOC113831259
,,LOC113831297
,,LOC113831299
,,LOC113831375
,,LOC113831378
,,LOC113831379
,,LOC113831382
,,LOC113831401
,,LOC113831403
,,LOC113831414
,,LOC113831442
,,LOC113831446
,,LOC113831457
,,LOC113831458
,,LOC113831472
,,LOC113831473
,,LOC113831474
,,LOC113831475
,,LOC113831477
,,LOC113831478
,,LOC113831491
,,LOC113831492
,,LOC113831525
,,LOC113831567
,,LOC113831576
,,LOC113831595
,,LOC113831597
,,LOC113831607
,,LOC113831608
,,LOC113831650
,,LOC113831650_1
,,LOC113831654
,,LOC113831655
,,LOC113831658
,,LOC113831671
,,LOC113831734
,,LOC113831735
,,LOC113831744
,,LOC113831753
,,LOC113831766
,,LOC113831805
,,LOC113831834
,,LOC113831885
,,LOC113831922
,,LOC113831977
,,LOC113832018
,,LOC113832035
,,LOC113832199
,,LOC113832201
,,LOC113832251
,,LOC113832259
,,LOC113832261
,,LOC113832262
,,LOC113832263
,,LOC113832265
,,LOC113832273
,,LOC113832277
,,LOC113832278
,,LOC113832308
,,LOC113832316
,,LOC113832320
,,LOC113832321
,,LOC113832325
,,LOC113832329
,,LOC113832337
,,LOC113832339
,,LOC113832343
,,LOC113832362
,,LOC113832366
,,LOC113832393
,,LOC113832398
,,LOC113832402
,,LOC113832414
,,LOC113832418
,,LOC113832440
,,LOC113832445
,,LOC113832449
,,LOC113832459
,,LOC113832461
,,LOC113832462
,,LOC113832464
,,LOC113832465
,,LOC113832469
,,LOC113832477
,,LOC113832489
,,LOC113832491
,,LOC113832494
,,LOC113832500
,,LOC113832518
,,LOC113832527
,,LOC113832529
,,LOC113832540
,,LOC113832569
,,LOC113832570
,,LOC113832571
,,LOC113832576
,,LOC113832577
,,LOC113832593
,,LOC113832597
,,LOC113832600
,,LOC113832602
,,LOC113832635
,,LOC113832636
,,LOC113832637
,,LOC113832647
,,LOC113832674
,,LOC113832677
,,LOC113832678
,,LOC113832681
,,LOC113832683
,,LOC113832687
,,LOC113832688
,,LOC113832693
,,LOC113832694
,,LOC113832697
,,LOC113832707
,,LOC113832752
,,LOC113832763
,,LOC113832785
,,LOC113832787
,,LOC113832788
,,LOC113832795
,,LOC113832801
,,LOC113832818
,,LOC113832822
,,LOC113832823
,,LOC113832830
,,LOC113832836
,,LOC113832840
,,LOC113832848
,,LOC113832852
,,LOC113832857
,,LOC113832873
,,LOC113832887
,,LOC113832892
,,LOC113832895
,,LOC113832899
,,LOC113832901
,,LOC113832912
,,LOC113832914
,,LOC113832926
,,LOC113832931
,,LOC113832935
,,LOC113832936
,,LOC113832941
,,LOC113832947
,,LOC113832949
,,LOC113832952
,,LOC113832953
,,LOC113832960
,,LOC113832964
,,LOC113832967
,,LOC113832969
,,LOC113832975
,,LOC113832984
,,LOC113832992
,,LOC113833009
,,LOC113833012
,,LOC113833019
,,LOC113833073
,,LOC113833074
,,LOC113833083
,,LOC113833094
,,LOC113833098
,,LOC113833100
,,LOC113833106
,,LOC113833117
,,LOC113833118
,,LOC113833127
,,LOC113833129
,,LOC113833143
,,LOC113833156
,,LOC113833160
,,LOC113833165
,,LOC113833167
,,LOC113833182
,,LOC113833183
,,LOC113833187
,,LOC113833193
,,LOC113833196
,,LOC113833198
,,LOC113833199
,,LOC113833203
,,LOC113833204
,,LOC113833235
,,LOC113833258
,,LOC113833261
,,LOC113833272
,,LOC113833275
,,LOC113833306
,,LOC113833312
,,LOC113833321
,,LOC113833324
,,LOC113833328
,,LOC113833329
,,LOC113833349
,,LOC113833353
,,LOC113833361
,,LOC113833362
,,LOC113833363
,,LOC113833378
,,LOC113833384
,,LOC113833388
,,LOC113833389
,,LOC113833390
,,LOC113833392
,,LOC113833395
,,LOC113833403
,,LOC113833406
,,LOC113833412
,,LOC113833430
,,LOC113833447
,,LOC113833449
,,LOC113833454
,,LOC113833456
,,LOC113833460
,,LOC113833479
,,LOC113833484
,,LOC113833487
,,LOC113833490
,,LOC113833491
,,LOC113833493
,,LOC113833497
,,LOC113833498
,,LOC113833499
,,LOC113833508
,,LOC113833522
,,LOC113833535
,,LOC113833536
,,LOC113833537
,,LOC113833549
,,LOC113833551
,,LOC113833557
,,LOC113833561
,,LOC113833567
,,LOC113833572
,,LOC113833573
,,LOC113833580
,,LOC113833581
,,LOC113833584
,,LOC113833586
,,LOC113833592
,,LOC113833596
,,LOC113833598
,,LOC113833600
,,LOC113833602
,,LOC113833606
,,LOC113833607
,,LOC113833609
,,LOC113833611
,,LOC113833615
,,LOC113833617
,,LOC113833620
,,LOC113833666
,,LOC113833667
,,LOC113833670
,,LOC113833675
,,LOC113833677
,,LOC113833681
,,LOC113833685
,,LOC113833686
,,LOC113833687
,,LOC113833688
,,LOC113833691
,,LOC113833696
,,LOC113833697
,,LOC113833698
,,LOC113833701
,,LOC113833702
,,LOC113833703
,,LOC113833705
,,LOC113833721
,,LOC113833723
,,LOC113833725
,,LOC113833746
,,LOC113833780
,,LOC113833782
,,LOC113833786
,,LOC113833793
,,LOC113833802
,,LOC113833818
,,LOC113833833
,,LOC113833838
,,LOC113833845
,,LOC113833848
,,LOC113833855
,,LOC113833866
,,LOC113833868
,,LOC113833874
,,LOC113833877
,,LOC113833881
,,LOC113833896
,,LOC113833909
,,LOC113833910
,,LOC113833915
,,LOC113833916
,,LOC113833918
,,LOC113833927
,,LOC113833942
,,LOC113833947
,,LOC113833948
,,LOC113833950
,,LOC113833951
,,LOC113833952
,,LOC113833954
,,LOC113833965
,,LOC113833966
,,LOC113833968
,,LOC113833970
,,LOC113833974
,,LOC113833976
,,LOC113833979
,,LOC113833995
,,LOC113833996
,,LOC113833997
,,LOC113833998
,,LOC113833999
,,LOC113834001
,,LOC113834019
,,LOC113834022
,,LOC113834026
,,LOC113834028
,,LOC113834032
,,LOC113834034
,,LOC113834035
,,LOC113834041
,,LOC113834064
,,LOC113834086
,,LOC113834099
,,LOC113834111
,,LOC113834127
,,LOC113834129
,,LOC113834131
,,LOC113834136
,,LOC113834145
,,LOC113834150
,,LOC113834155
,,LOC113834172
,,LOC113834176
,,LOC113834239
,,LOC113834242
,,LOC113834246
,,LOC113834251
,,LOC113834275
,,LOC113834278
,,LOC113834285
,,LOC113834286
,,LOC113834293
,,LOC113834297
,,LOC113834304
,,LOC113834305
,,LOC113834307
,,LOC113834309
,,LOC113834312
,,LOC113834313
,,LOC113834334
,,LOC113834337
,,LOC113834338
,,LOC113834342
,,LOC113834350
,,LOC113834352
,,LOC113834353
,,LOC113834355
,,LOC113834356
,,LOC113834365
,,LOC113834366
,,LOC113834367
,,LOC113834382
,,LOC113834383
,,LOC113834385
,,LOC113834396
,,LOC113834399
,,LOC113834403
,,LOC113834404
,,LOC113834405
,,LOC113834407
,,LOC113834408
,,LOC113834410
,,LOC113834415
,,LOC113834416
,,LOC113834421
,,LOC113834422
,,LOC113834492
,,LOC113834493
,,LOC113834494
,,LOC113834498
,,LOC113834501
,,LOC113834511
,,LOC113834513
,,LOC113834516
,,LOC113834517
,,LOC113834529
,,LOC113834530
,,LOC113834531
,,LOC113834553
,,LOC113834555
,,LOC113834557
,,LOC113834587
,,LOC113834615
,,LOC113834619
,,LOC113834621
,,LOC113834623
,,LOC113834624
,,LOC113834627
,,LOC113834633
,,LOC113834634
,,LOC113834666
,,LOC113834668
,,LOC113834684
,,LOC113834730
,,LOC113834737
,,LOC113834739
,,LOC113834740
,,LOC113834741
,,LOC113834742
,,LOC113834744
,,LOC113834751
,,LOC113834752
,,LOC113834776
,,LOC113834814
,,LOC113834815
,,LOC113834822
,,LOC113834823
,,LOC113834824
,,LOC113834827
,,LOC113834828
,,LOC113834829
,,LOC113834833
,,LOC113834847
,,LOC113834852
,,LOC113834874
,,LOC113834879
,,LOC113834881
,,LOC113834903
,,LOC113834904
,,LOC113834906
,,LOC113834907
,,LOC113834908
,,LOC113834913
,,LOC113834914
,,LOC113834919
,,LOC113834922
,,LOC113834936
,,LOC113834942
,,LOC113834947
,,LOC113834954
,,LOC113834955
,,LOC113834962
,,LOC113834963
,,LOC113834983
,,LOC113834984
,,LOC113834994
,,LOC113834998
,,LOC113835001
,,LOC113835002
,,LOC113835007
,,LOC113835011
,,LOC113835034
,,LOC113835039
,,LOC113835042
,,LOC113835045
,,LOC113835046
,,LOC113835048
,,LOC113835058
,,LOC113835059
,,LOC113835062
,,LOC113835066
,,LOC113835067
,,LOC113835080
,,LOC113835100
,,LOC113835102
,,LOC113835115
,,LOC113835117
,,LOC113835120
,,LOC113835123
,,LOC113835137
,,LOC113835154
,,LOC113835155
,,LOC113835157
,,LOC113835163
,,LOC113835164
,,LOC113835165
,,LOC113835167
,,LOC113835168
,,LOC113835170
,,LOC113835171
,,LOC113835174
,,LOC113835175
,,LOC113835176
,,LOC113835178
,,LOC113835183
,,LOC113835184
,,LOC113835185
,,LOC113835186
,,LOC113835188
,,LOC113835195
,,LOC113835198
,,LOC113835201
,,LOC113835258
,,LOC113835260
,,LOC113835261
,,LOC113835267
,,LOC113835268
,,LOC113835275
,,LOC113835284
,,LOC113835286
,,LOC113835325
,,LOC113835333
,,LOC113835350
,,LOC113835351
,,LOC113835359
,,LOC113835377
,,LOC113835400
,,LOC113835413
,,LOC113835414
,,LOC113835445
,,LOC113835450
,,LOC113835456
,,LOC113835459
,,LOC113835460
,,LOC113835465
,,LOC113835467
,,LOC113835485
,,LOC113835487
,,LOC113835496
,,LOC113835508
,,LOC113835509
,,LOC113835519
,,LOC113835523
,,LOC113835524
,,LOC113835540
,,LOC113835543
,,LOC113835544
,,LOC113835547
,,LOC113835562
,,LOC113835565
,,LOC113835566
,,LOC113835571
,,LOC113835578
,,LOC113835586
,,LOC113835597
,,LOC113835598
,,LOC113835612
,,LOC113835615
,,LOC113835625
,,LOC113835627
,,LOC113835628
,,LOC113835634
,,LOC113835635
,,LOC113835637
,,LOC113835640
,,LOC113835641
,,LOC113835642
,,LOC113835645
,,LOC113835648
,,LOC113835669
,,LOC113835672
,,LOC113835673
,,LOC113835676
,,LOC113835684
,,LOC113835691
,,LOC113835709
,,LOC113835711
,,LOC113835722
,,LOC113835815
,,LOC113835819
,,LOC113835824
,,LOC113835826
,,LOC113835832
,,LOC113835841
,,LOC113835848
,,LOC113835852
,,LOC113835856
,,LOC113835857
,,LOC113835858
,,LOC113835880
,,LOC113835883
,,LOC113835885
,,LOC113835892
,,LOC113835899
,,LOC113835900
,,LOC113835904
,,LOC113835906
,,LOC113835920
,,LOC113835922
,,LOC113835924
,,LOC113835932
,,LOC113835933
,,LOC113835939
,,LOC113835947
,,LOC113835951
,,LOC113835994
,,LOC113835995
,,LOC113835999
,,LOC113836000
,,LOC113836002
,,LOC113836006
,,LOC113836011
,,LOC113836014
,,LOC113836017
,,LOC113836021
,,LOC113836089
,,LOC113836091
,,LOC113836093
,,LOC113836094
,,LOC113836095
,,LOC113836098
,,LOC113836103
,,LOC113836166
,,LOC113836171
,,LOC113836173
,,LOC113836175
,,LOC113836176
,,LOC113836178
,,LOC113836186
,,LOC113836194
,,LOC113836198
,,LOC113836207
,,LOC113836242
,,LOC113836248
,,LOC113836270
,,LOC113836275
,,LOC113836279
,,LOC113836283
,,LOC113836285
,,LOC113836328
,,LOC113836333
,,LOC113836365
,,LOC113836368
,,LOC113836375
,,LOC113836383
,,LOC113836395
,,LOC113836396
,,LOC113836407
,,LOC113836408
,,LOC113836409
,,LOC113836414
,,LOC113836416
,,LOC113836423
,,LOC113836427
,,LOC113836428
,,LOC113836429
,,LOC113836432
,,LOC113836434
,,LOC113836435
,,LOC113836437
,,LOC113836438
,,LOC113836458
,,LOC113836469
,,LOC113836470
,,LOC113836497
,,LOC113836498
,,LOC113836499
,,LOC113836500
,,LOC113836507
,,LOC113836537
,,LOC113836927
,,LOC113838010
,,LOC113839065
,,LOC113839175
,,LOC113839177
,,LOC113839183
,,LOC113839198
,,LOC113839199
,,LOC113839216
,,LOC113839251
,,LOC113839263
,,LOC113839306
,,LOC113839349
,,LOC113839358
,,LOC113839374
,,LOC113839375
,,LOC113839406
,,LOC113839415
,,LOC113839447
,,LOC113839452
,,LOC113839468
,,LOC113839482
,,LOC118237588
,,LOC118237589
,,LOC118237605
,,LOC118237610
,,LOC118237611
,,LOC118237612
,,LOC118237614
,,LOC118237654
,,LOC118237656
,,LOC118237663
,,LOC118237675
,,LOC118237682
,,LOC118237690
,,LOC118237694
,,LOC118237698
,,LOC118237704
,,LOC118237705
,,LOC118237718
,,LOC118237723
,,LOC118237733
,,LOC118237738
,,LOC118237739
,,LOC118237759
,,LOC118237762
,,LOC118237774
,,LOC118237775
,,LOC118237777
,,LOC118237781
,,LOC118237784
,,LOC118237792
,,LOC118237797
,,LOC118237808
,,LOC118237812
,,LOC118237815
,,LOC118237825
,,LOC118237844
,,LOC118237851
,,LOC118237867
,,LOC118237873
,,LOC118237884
,,LOC118237888
,,LOC118237890
,,LOC118237895
,,LOC118237901
,,LOC118237902
,,LOC118237904
,,LOC118237906
,,LOC118237907
,,LOC118237912
,,LOC118237913
,,LOC118237914
,,LOC118237919
,,LOC118237928
,,LOC118237930
,,LOC118237931
,,LOC118237936
,,LOC118237953
,,LOC118237966
,,LOC118237968
,,LOC118237970
,,LOC118237982
,,LOC118237983
,,LOC118237989
,,LOC118237990
,,LOC118237991
,,LOC118237992
,,LOC118238009
,,LOC118238012
,,LOC118238014
,,LOC118238016
,,LOC118238018
,,LOC118238023
,,LOC118238032
,,LOC118238040
,,LOC118238046
,,LOC118238050
,,LOC118238054
,,LOC118238071
,,LOC118238072
,,LOC118238077
,,LOC118238078
,,LOC118238080
,,LOC118238089
,,LOC118238159
,,LOC118238176
,,LOC118238193
,,LOC118238195
,,LOC118238197
,,LOC118238203
,,LOC118238209
,,LOC118238214
,,LOC118238219
,,LOC118238223
,,LOC118238228
,,LOC118238231
,,LOC118238233
,,LOC118238236
,,LOC118238238
,,LOC118238239
,,LOC118238240
,,LOC118238252
,,LOC118238253
,,LOC118238254
,,LOC118238263
,,LOC118238266
,,LOC118238269
,,LOC118238271
,,LOC118238272
,,LOC118238274
,,LOC118238277
,,LOC118238278
,,LOC118238285
,,LOC118238290
,,LOC118238293
,,LOC118238294
,,LOC118238298
,,LOC118238299
,,LOC118238302
,,LOC118238304
,,LOC118238306
,,LOC118238307
,,LOC118238308
,,LOC118238309
,,LOC118238311
,,LOC118238312
,,LOC118238313
,,LOC118238314
,,LOC118238315
,,LOC118238317
,,LOC118238319
,,LOC118238323
,,LOC118238324
,,LOC118238325
,,LOC118238326
,,LOC118238329
,,LOC118238333
,,LOC118238334
,,LOC118238335
,,LOC118238339
,,LOC118238342
,,LOC118238343
,,LOC118238346
,,LOC118238347
,,LOC118238349
,,LOC118238350
,,LOC118238351
,,LOC118238352
,,LOC118238353
,,LOC118238354
,,LOC118238356
,,LOC118238358
,,LOC118238359
,,LOC118238361
,,LOC118238362
,,LOC118238364
,,LOC118238365
,,LOC118238367
,,LOC118238368
,,LOC118238370
,,LOC118238372
,,LOC118238373
,,LOC118238374
,,LOC118238378
,,LOC118238379
,,LOC118238381
,,LOC118238382
,,LOC118238383
,,LOC118238385
,,LOC118238386
,,LOC118238389
,,LOC118238390
,,LOC118238391
,,LOC118238392
,,LOC118238393
,,LOC118238396
,,LOC118238398
,,LOC118238399
,,LOC118238402
,,LOC118238403
,,LOC118238404
,,LOC118238405
,,LOC118238406
,,LOC118238408
,,LOC118238409
,,LOC118238410
,,LOC118238411
,,LOC118238412
,,LOC118238413
,,LOC118238414
,,LOC118238415
,,LOC118238417
,,LOC118238420
,,LOC118238423
,,LOC118238424
,,LOC118238426
,,LOC118238429
,,LOC118238430
,,LOC118238432
,,LOC118238434
,,LOC118238435
,,LOC118238436
,,LOC118238438
,,LOC118238439
,,LOC118238440
,,LOC118238441
,,LOC118238442
,,LOC118238443
,,LOC118238448
,,LOC118238449
,,LOC118238453
,,LOC118238454
,,LOC118238456
,,LOC118238457
,,LOC118238464
,,LOC118238466
,,LOC118238471
,,LOC118238472
,,LOC118238486
,,LOC118238488
,,LOC118238492
,,LOC118238499
,,LOC118238505
,,LOC118238513
,,LOC118238515
,,LOC118238518
,,LOC118238519
,,LOC118238520
,,LOC118238523
,,LOC118238527
,,LOC118238528
,,LOC118238531
,,LOC118238532
,,LOC118238534
,,LOC118238536
,,LOC118238539
,,LOC118238543
,,LOC118238544
,,LOC118238545
,,LOC118238552
,,LOC118238554
,,LOC118238555
,,LOC118238558
,,LOC118238560
,,LOC118238561
,,LOC118238562
,,LOC118238563
,,LOC118238565
,,LOC118238567
,,LOC118238569
,,LOC118238570
,,LOC118238571
,,LOC118238574
,,LOC118238578
,,LOC118238579
,,LOC118238580
,,LOC118238583
,,LOC118238587
,,LOC118238589
,,LOC118238590
,,LOC118238591
,,LOC118238592
,,LOC118238593
,,LOC118238594
,,LOC118238595
,,LOC118238596
,,LOC118238597
,,LOC118238600
,,LOC118238601
,,LOC118238602
,,LOC118238603
,,LOC118238604
,,LOC118238605
,,LOC118238608
,,LOC118238609
,,LOC118238610
,,LOC118238613
,,LOC118238615
,,LOC118238616
,,LOC118238617
,,LOC118238621
,,LOC118238623
,,LOC118238624
,,LOC118238625
,,LOC118238626
,,LOC118238627
,,LOC118238636
,,LOC118238638
,,LOC118238641
,,LOC118238645
,,LOC118238647
,,LOC118238649
,,LOC118238650
,,LOC118238652
,,LOC118238654
,,LOC118238659
,,LOC118238660
,,LOC118238665
,,LOC118238668
,,LOC118238670
,,LOC118238672
,,LOC118238674
,,LOC118238676
,,LOC118238678
,,LOC118238683
,,LOC118238685
,,LOC118238686
,,LOC118238688
,,LOC118238689
,,LOC118238691
,,LOC118238692
,,LOC118238694
,,LOC118238701
,,LOC118238703
,,LOC118238704
,,LOC118238705
,,LOC118238706
,,LOC118238707
,,LOC118238708
,,LOC118238709
,,LOC118238713
,,LOC118238715
,,LOC118238721
,,LOC118238741
,,LOC118238745
,,LOC118238748
,,LOC118238754
,,LOC118238755
,,LOC118238757
,,LOC118238758
,,LOC118238760
,,LOC118238765
,,LOC118238768
,,LOC118238772
,,LOC118238773
,,LOC118238774
,,LOC118238777
,,LOC118238779
,,LOC118238782
,,LOC118238783
,,LOC118238784
,,LOC118238786
,,LOC118238787
,,LOC118238789
,,LOC118238791
,,LOC118238792
,,LOC118238795
,,LOC118238796
,,LOC118238797
,,LOC118238798
,,LOC118238799
,,LOC118238802
,,LOC118238804
,,LOC118238805
,,LOC118238807
,,LOC118238808
,,LOC118238816
,,LOC118238817
,,LOC118238818
,,LOC118238823
,,LOC118238824
,,LOC118238825
,,LOC118238826
,,LOC118238829
,,LOC118238830
,,LOC118238834
,,LOC118238835
,,LOC118238837
,,LOC118238844
,,LOC118238845
,,LOC118238847
,,LOC118238853
,,LOC118238856
,,LOC118238858
,,LOC118238861
,,LOC118238863
,,LOC118238866
,,LOC118238867
,,LOC118238869
,,LOC118238871
,,LOC118238873
,,LOC118238875
,,LOC118238877
,,LOC118238878
,,LOC118238879
,,LOC118238881
,,LOC118238882
,,LOC118238885
,,LOC118238886
,,LOC118238887
,,LOC118238888
,,LOC118238889
,,LOC118238890
,,LOC118238891
,,LOC118238892
,,LOC118238894
,,LOC118238900
,,LOC118238901
,,LOC118238902
,,LOC118238903
,,LOC118238904
,,LOC118238905
,,LOC118238906
,,LOC118238909
,,LOC118238913
,,LOC118238915
,,LOC118238917
,,LOC118238919
,,LOC118238920
,,LOC118238921
,,LOC118238922
,,LOC118238925
,,LOC118238926
,,LOC118238930
,,LOC118238938
,,LOC118238939
,,LOC118238940
,,LOC118238982
,,LOC118238992
,,LOC118239021
,,LOC118239022
,,LOC118239023
,,LOC118239024
,,LOC118239026
,,LOC118239032
,,LOC118239033
,,LOC118239035
,,LOC118239036
,,LOC118239037
,,LOC118239038
,,LOC118239039
,,LOC118239042
,,LOC118239043
,,LOC118239046
,,LOC118239047
,,LOC118239050
,,LOC118239052
,,LOC118239054
,,LOC118239056
,,LOC118239059
,,LOC118239062
,,LOC118239065
,,LOC118239067
,,LOC118239069
,,LOC118239070
,,LOC118239071
,,LOC118239074
,,LOC118239077
,,LOC118239079
,,LOC118239081
,,LOC118239083
,,LOC118239087
,,LOC118239088
,,LOC118239090
,,LOC118239091
,,LOC118239094
,,LOC118239095
,,LOC118239096
,,LOC118239098
,,LOC118239099
,,LOC118239101
,,LOC118239107
,,LOC118239108
,,LOC118239109
,,LOC118239111
,,LOC118239113
,,LOC118239185
,,LOC118239187
,,LOC118239202
,,LOC118239203
,,LOC118239210
,,LOC118239234
,,LOC118239241
,,LOC118239331
,,LOC118239437
,,LOC118239438
,,LOC118239439
,,LOC118239442
,,LOC118239443
,,LOC118239444
,,LOC118239445
,,LOC118239448
,,LOC118239449
,,LOC118239450
,,LOC118239453
,,LOC118239460
,,LOC118239464
,,LOC118239466
,,LOC118239469
,,LOC118239475
,,LOC118239476
,,LOC118239477
,,LOC118239479
,,LOC118239480
,,LOC118239482
,,LOC118239483
,,LOC118239485
,,LOC118239486
,,LOC118239489
,,LOC118239491
,,LOC118239493
,,LOC118239497
,,LOC118239500
,,LOC118239501
,,LOC118239502
,,LOC118239503
,,LOC118239505
,,LOC118239506
,,LOC118239507
,,LOC118239510
,,LOC118239511
,,LOC118239513
,,LOC118239514
,,LOC118239515
,,LOC118239534
,,LOC118239538
,,LOC118239547
,,LOC118239549
,,LOC118239551
,,LOC118239553
,,LOC118239557
,,LOC118239560
,,LOC118239561
,,LOC118239562
,,LOC118239566
,,LOC118239567
,,LOC118239568
,,LOC118239569
,,LOC118239572
,,LOC118239575
,,LOC118239579
,,LOC118239580
,,LOC118239582
,,LOC118239584
,,LOC118239585
,,LOC118239586
,,LOC118239588
,,LOC118239591
,,LOC118239593
,,LOC118239595
,,LOC118239596
,,LOC118239599
,,LOC118239600
,,LOC118239601
,,LOC118239603
,,LOC118239612
,,LOC118239613
,,LOC118239619
,,LOC118239622
,,LOC118239623
,,LOC118239628
,,LOC118239635
,,LOC118239639
,,LOC118239640
,,LOC118239641
,,LOC118239643
,,LOC118239644
,,LOC118239647
,,LOC118239648
,,LOC118239649
,,LOC118239651
,,LOC118239652
,,LOC118239653
,,LOC118239654
,,LOC118239655
,,LOC118239656
,,LOC118239657
,,LOC118239662
,,LOC118239665
,,LOC118239666
,,LOC118239667
,,LOC118239669
,,LOC118239670
,,LOC118239671
,,LOC118239674
,,LOC118239675
,,LOC118239676
,,LOC118239677
,,LOC118239678
